text,label
"Breaking news: Scientists discover life on Mars",1
"Stock market crashes again, investors panic",1
"New research shows eating chocolate can help you lose weight",0
"Celebrity couple announces divorce, the world is shocked",1
"Unbelievable: Man claims he can talk to animals",0
"Global warming has been debunked by new research",0
"Government approves new policy to combat climate change",1
"World leaders gather for climate summit, hoping for change",1
"Scientists say fast food is linked to cancer",0
"Technology company launches innovative new product",1
